,label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,pred
0,0,0.02702702702702703,0.0,0.0,0.0,0.0002720106912028194,0.0,0.0033222591362126247,0.0,0.0,0.3333333333333333,0.03125,0.0,0.0,21,68,0,0,5,0,19,1,1,61,149,0,14,1,24,0,7,72,0,0,0,0,0,0,0,0,[0.3948046863079071]
1,0,0.0,0.002998001332445037,0.002841918294849023,0.05747126436781609,0.05057821982800251,0.0,0.0,0.061224489795918366,0.004835589941972921,0.0,0.0,0.0,0.049019607843137254,0,55,169,26,1,4,6,1,1,30,140,168,18,7,17,138,1,94,0,0,103,0,0,25,0,0,[0.4257229268550873]
2,0,0.0,1.0,0.0007104795737122557,0.0,0.006177402219055334,0.02231718898385565,0.0033222591362126247,0.0,0.0009671179883945841,0.0,0.03125,0.0,0.0,0,23,31,36,1,0,20,1,1,86,19,16,106,1,153,55,4,80,5,1,128,0,8,12,16,17,[0.2786352336406708]
3,0,0.0,0.00899400399733511,0.002486678507992895,0.011494252873563218,0.006725365785391449,0.04938271604938272,0.03322259136212625,0.04081632653061224,0.005802707930367505,0.0,0.03125,0.14285714285714285,0.00980392156862745,0,13,61,136,1,1,53,1,1,30,129,102,143,1,10,144,4,69,43,2,106,0,8,10,16,49,[0.43114539980888367]
4,0,0.0,0.00033311125916055963,0.00035523978685612787,0.0,0.007227994236527093,0.019943019943019943,0.006644518272425249,0.6122448979591836,0.035783365570599614,0.0,0.03125,0.14285714285714285,0.0,0,84,95,15,1,4,137,1,1,37,110,18,63,7,25,17,6,7,4,3,20,0,6,17,16,87,[0.46163418889045715]
5,1,0.02702702702702703,0.000999333777481679,0.2142095914742451,0.12643678160919541,3.942183930475644e-06,0.0052231718898385565,0.006644518272425249,0.22448979591836732,0.010638297872340425,0.3333333333333333,0.0625,0.0,0.10784313725490197,0,35,163,30,6,4,122,1,1,71,169,60,90,2,140,111,0,95,35,3,160,0,2,92,11,46,[0.47820520401000977]
6,0,0.21621621621621623,0.0006662225183211193,0.0010657193605683837,0.16091954022988506,0.0006918532797984755,0.023741690408357077,0.026578073089700997,0.7142857142857142,0.035783365570599614,0.3333333333333333,0.03125,0.0,0.1764705882352941,0,86,134,56,0,4,157,7,1,16,107,71,162,7,166,27,8,107,0,0,78,5,0,48,0,0,[0.4817330241203308]
7,0,0.02702702702702703,0.00033311125916055963,0.010301953818827708,0.05747126436781609,7.884367860951288e-05,0.002374169040835708,0.0033222591362126247,0.1020408163265306,0.004835589941972921,0.3333333333333333,0.03125,0.0,0.049019607843137254,16,5,91,102,1,0,22,1,1,58,56,98,145,4,95,135,7,40,22,2,127,0,1,75,16,53,[0.4306505620479584]
8,1,0.0,0.014656895403064625,0.0007104795737122557,0.034482758620689655,0.003350856340904297,0.009971509971509971,0.019933554817275746,0.2040816326530612,0.020309477756286266,0.0,0.03125,0.0,0.06862745098039216,9,28,138,51,1,4,54,2,1,39,74,83,9,10,88,23,8,71,0,0,70,0,1,18,0,0,[0.4495231509208679]
9,1,0.0,0.000999333777481679,0.00035523978685612787,0.12643678160919541,0.004176743874338944,0.03751187084520418,0.019933554817275746,0.04081632653061224,0.1102514506769826,0.0,0.09375,0.14285714285714285,0.10784313725490197,0,15,48,87,1,4,120,1,1,51,26,133,104,1,42,166,4,120,0,0,10,3,0,109,0,0,[0.45309147238731384]
